"OFFICE_ID","DESCRIPTION","LONGITUDE_X","LATUTUDE_Y"
"E02002821","Derby 026",-1.454806,52.893688
"E02002834","Leicester 008",-1.148117,52.650162
"E02002835","Leicester 009",-1.068699,52.655462
"E02002843","Leicester 017",-1.106738,52.638754
"E02002848","Leicester 022",-1.111565,52.629513
"E02002849","Leicester 023",-1.151965,52.629287
"E02002853","Leicester 027",-1.103180,52.623417
"E02002856","Leicester 030",-1.117039,52.615978
"E02002889","Nottingham 022",-1.160545,52.959953
"E02002890","Nottingham 023",-1.144380,52.959073
"E02002893","Nottingham 026",-1.177826,52.957772
"E02002898","Nottingham 031",-1.174737,52.947233
"E02002899","Nottingham 032",-1.203810,52.939556
"E02002909","Herefordshire 005",-2.512374,52.187505
"E02002916","Herefordshire 012",-2.711488,52.059090
"E02002923","Herefordshire 019",-2.428804,52.036542
"E02002925","Herefordshire 021",-2.735287,51.989470
"E02002926","Herefordshire 022",-2.582204,51.914586
"E02002927","Herefordshire 023",-2.591631,51.898436
"E02002937","Telford and Wrekin 010",-2.544423,52.711352
"E02002941","Telford and Wrekin 014",-2.462297,52.692876
"E02002943","Telford and Wrekin 016",-2.474696,52.676456
"E02002966","Stoke-on-Trent 016",-2.175757,53.012489
"E02002991","Bath and North East Somerset 007",-2.361592,51.387905
"E02002994","Bath and North East Somerset 010",-2.321244,51.394974
"E02002996","Bath and North East Somerset 012",-2.350453,51.378264
"E02003012","Bristol 001",-2.620677,51.509792
"E02003013","Bristol 002",-2.599288,51.503951
"E02003027","Bristol 016",-2.588187,51.479882
"E02003031","Bristol 020",-2.591569,51.471970
"E02003033","Bristol 022",-2.606330,51.466743
"E02003034","Bristol 023",-2.583025,51.465836
"E02003036","Bristol 025",-2.594415,51.463845
"E02003037","Bristol 026",-2.613806,51.462837
"E02003040","Bristol 029",-2.554670,51.459112
"E02003043","Bristol 032",-2.600880,51.454101
"E02003047","Bristol 036",-2.609640,51.442897
"E02003050","Bristol 039",-2.602832,51.437285
"E02003060","Bristol 049",-2.549022,51.415394
"E02003065","North Somerset 001",-2.770014,51.486355
"E02003070","North Somerset 006",-2.692541,51.439649
"E02003082","North Somerset 018",-2.976125,51.353195
"E02003084","North Somerset 020",-2.969255,51.346805
"E02003087","North Somerset 023",-2.914352,51.330503
"E02003100","South Gloucestershire 011",-2.579405,51.533472
"E02003101","South Gloucestershire 012",-2.551518,51.533111
"E02003106","South Gloucestershire 017",-2.539525,51.507640
"E02003107","South Gloucestershire 018",-2.569750,51.507227
"E02003108","South Gloucestershire 019",-2.455605,51.490183
"E02003110","South Gloucestershire 021",-2.480625,51.491594
"E02003113","South Gloucestershire 024",-2.385559,51.476209
"E02003118","South Gloucestershire 029",-2.490088,51.453969
"E02003119","South Gloucestershire 030",-2.475510,51.447177
"E02003121","South Gloucestershire 032",-2.486702,51.438751
"E02003148","Plymouth 027",-4.135497,50.373143
"E02003150","Plymouth 029",-4.154136,50.371675
"E02003152","Plymouth 031",-4.103326,50.357720
"E02003156","Torbay 003",-3.559930,50.483921
"E02003166","Torbay 013",-3.588607,50.438248
"E02003167","Torbay 014",-3.567141,50.434708
"E02003170","Torbay 017",-3.516505,50.394646
"E02003188","Bournemouth 017",-1.874301,50.726020
"E02003190","Bournemouth 019",-1.842652,50.725334
"E02003192","Bournemouth 021",-1.858339,50.724239
"E02003196","Poole 003",-1.999133,50.759532
"E02003201","Poole 008",-1.942704,50.736613
"E02003208","Poole 015",-1.978310,50.717489
"E02003220","Swindon 009",-1.745818,51.578713
"E02003223","Swindon 012",-1.801347,51.566259
"E02003236","Swindon 025",-1.789072,51.524984
"E02003248","Peterborough 012",-0.243144,52.588914
"E02003249","Peterborough 013",-0.218280,52.586466
"E02003250","Peterborough 014",-0.240636,52.579679
"E02003252","Peterborough 016",-0.256802,52.568032
"E02003255","Peterborough 019",-0.215708,52.552746
"E02003263","Luton 006",-0.444638,51.904984
"E02003267","Luton 010",-0.432448,51.895614
"E02003275","Luton 018",-0.413459,51.883850
"E02003278","Luton 021",-0.416106,51.872628
"E02003280","Southend-on-Sea 002",0.691215,51.563212
"E02003282","Southend-on-Sea 004",0.691342,51.554854
"E02003283","Southend-on-Sea 005",0.665439,51.553278
"E02003284","Southend-on-Sea 006",0.727983,51.547783
"E02003285","Southend-on-Sea 007",0.687919,51.547944
"E02003288","Southend-on-Sea 010",0.708878,51.545006
"E02003289","Southend-on-Sea 011",0.658569,51.543820
"E02003290","Southend-on-Sea 012",0.681903,51.540824
"E02003291","Southend-on-Sea 013",0.790732,51.538104
"E02003292","Southend-on-Sea 014",0.725496,51.537561
"E02003293","Southend-on-Sea 015",0.701809,51.537696
"E02003301","Thurrock 006",0.292243,51.517099
"E02003310","Thurrock 015",0.252849,51.482060
"E02003313","Thurrock 018",0.365556,51.463976
"E02003316","Medway 003",0.556063,51.425440
"E02003353","Bracknell Forest 002",-0.781403,51.426099
"E02003358","Bracknell Forest 007",-0.754594,51.405891
"E02003360","Bracknell Forest 009",-0.773865,51.398711
"E02003385","West Berkshire 019",-1.315833,51.396870
"E02003398","Reading 010",-0.947417,51.454441
"E02003399","Reading 011",-0.975890,51.452985
"E02003402","Reading 014",-0.965814,51.446026
"E02003405","Reading 017",-0.964292,51.431239
"E02003413","Slough 007",-0.587660,51.514846
"E02003414","Slough 008",-0.625849,51.509670
"E02003415","Slough 009",-0.604638,51.508224
"E02003417","Slough 011",-0.583057,51.504323
"E02003422","Windsor and Maidenhead 002",-0.742677,51.549845
"E02003425","Windsor and Maidenhead 005",-0.724307,51.525422
"E02003438","Windsor and Maidenhead 018",-0.649234,51.397629
"E02003446","Wokingham 008",-0.924112,51.431956
"E02003450","Wokingham 012",-0.944547,51.420380
"E02003460","Milton Keynes 002",-0.778904,52.103734
"E02003475","Milton Keynes 017",-0.696473,52.038878
"E02003477","Milton Keynes 019",-0.805674,52.022556
"E02003492","Brighton and Hove 002",-0.103138,50.859376
"E02003505","Brighton and Hove 015",-0.129978,50.834915
"E02003508","Brighton and Hove 018",-0.119752,50.832808
"E02003512","Brighton and Hove 022",-0.127406,50.830350
"E02003514","Brighton and Hove 024",-0.147144,50.829667
"E02003516","Brighton and Hove 026",-0.165472,50.827609
"E02003517","Brighton and Hove 027",-0.140970,50.827087
"E02003519","Brighton and Hove 029",-0.155774,50.824345
"E02003520","Brighton and Hove 030",-0.131042,50.822854
"E02003523","Brighton and Hove 033",-0.045560,50.807378
"E02003538","Portsmouth 015",-1.073123,50.801875
"E02003539","Portsmouth 016",-1.089130,50.799717
"E02003541","Portsmouth 018",-1.087100,50.793190
"E02003547","Portsmouth 024",-1.096351,50.788784
"E02003570","Southampton 022",-1.395020,50.911389
"E02003571","Southampton 023",-1.410339,50.912600
"E02003577","Southampton 029",-1.396485,50.900417
"E02003592","Isle of Wight 012",-1.526381,50.683911
"E02003603","Central Bedfordshire 005",-0.261636,52.088330
"E02003604","Central Bedfordshire 006",-0.250349,52.083208
"E02003607","Central Bedfordshire 009",-0.553121,52.058766
"E02003608","Central Bedfordshire 010",-0.267231,52.024139
"E02003609","Central Bedfordshire 011",-0.337756,52.034956
"E02003612","Central Bedfordshire 014",-0.231551,52.014113
"E02003619","Bedford 004",-0.388366,52.163169
"E02003623","Bedford 008",-0.528482,52.144446
"E02003627","Bedford 012",-0.460315,52.136931
"E02003630","Bedford 015",-0.467221,52.123480
"E02003634","Bedford 019",-0.444464,52.104534
"E02003637","Central Bedfordshire 019",-0.540924,51.942831
"E02003643","Central Bedfordshire 024",-0.645393,51.911197
"E02003647","Central Bedfordshire 029",-0.526052,51.886088
"E02003660","Aylesbury Vale 009",-0.639701,51.837796
"E02003663","Aylesbury Vale 012",-0.839230,51.827310
"E02003672","Aylesbury Vale 021",-0.752618,51.792929
"E02003688","South Bucks 001",-0.646081,51.607317
"E02003695","South Bucks 008",-0.515008,51.525018
"E02003701","Wycombe 006",-0.768585,51.641478
"E02003710","Wycombe 015",-0.762870,51.625277
"E02003723","Cambridge 005",0.109743,52.213498
"E02003725","Cambridge 007",0.116455,52.202866
"E02003730","Cambridge 012",0.124190,52.187080
"E02003734","East Cambridgeshire 003",0.266337,52.406218
"E02003737","East Cambridgeshire 006",0.335114,52.337105
"E02003743","Fenland 002",0.168549,52.673641
"E02003744","Fenland 003",0.165444,52.661110
"E02003745","Fenland 004",0.110971,52.634516
"E02003747","Fenland 006",-0.127906,52.558421
"E02003752","Fenland 011",0.048993,52.453841
"E02003753","Huntingdonshire 001",-0.254199,52.519118
"E02003764","Huntingdonshire 012",-0.194818,52.335459
"E02003773","Huntingdonshire 021",-0.264277,52.218379
"E02003780","South Cambridgeshire 006",0.110070,52.247545
"E02003797","Cheshire West and Chester 028",-2.888644,53.208192
"E02003803","Cheshire West and Chester 034",-2.898929,53.195934
"E02003822","Cheshire East 033",-2.286021,53.113351
"E02003837","Cheshire East 049",-2.502104,53.061262
"E02003840","Cheshire East 051",-2.593202,53.032948
"E02003856","Cheshire East 004",-2.213517,53.345060
"E02003859","Cheshire East 007",-2.342664,53.316786
"E02003870","Cheshire East 018",-2.131047,53.254993
"E02003872","Cheshire East 020",-2.137982,53.239282
"E02003883","Cheshire West and Chester 023",-2.529790,53.244009
"E02003909","Cornwall 043",-5.087716,50.262499
"E02003927","Cornwall 066",-5.131066,50.154636
"E02003928","Cornwall 071",-5.270109,50.103578
"E02003930","Cornwall 073",-5.208710,50.034591
"E02003931","Cornwall 001",-4.535424,50.828959
"E02003935","Cornwall 005",-4.359906,50.636099
"E02003944","Cornwall 057",-5.411416,50.188763
"E02003953","Cornwall 019",-4.944143,50.424299
"E02003957","Cornwall 027",-4.764949,50.387797
"E02003963","Cornwall 039",-4.779025,50.339282
"E02003965","Allerdale 001",-3.173373,54.826794
